Fecha,Estrategia,Rendimiento,Riesgo,zscore_original,outlier_z_original,p2,p98,Rendimiento_winsorized,zscore_winsor,outlier_z_winsor
1997-01-31,Convertible Arbitrage,1.19,Medio,0.3857945285713284,FALSE,-2.6832,3.3703999999999974,1.19,0.5004742140211307,FALSE
1997-01-31,CTA Global,3.93,Alto,1.5096170574913583,FALSE,-4.231199999999999,5.196399999999996,3.93,1.5800204007409466,FALSE
1997-01-31,Distressed Securities,1.78,Alto,0.6369097095574959,FALSE,-3.412,3.575999999999999,1.78,0.7036498090362099,FALSE
1997-01-31,Emerging Markets,7.91,Alto,2.2388549097303305,FALSE,-5.645599999999999,6.4823999999999975,6.4823999999999975,2.107779479373048,FALSE
1997-01-31,Equity Market Neutral,1.89,Bajo,1.7713921638284216,FALSE,-1.3356000000000001,1.958399999999999,1.89,2.1108089689780867,FALSE
1997-01-31,Event Driven,2.13,Medio,0.893211055697148,FALSE,-3.0076,3.3676,2.13,0.9901246529320648,FALSE
1997-01-31,Fixed Income Arbitrage,1.91,Bajo,1.2769763824734548,FALSE,-2.6687999999999996,2.0579999999999994,1.91,1.8192307325791097,FALSE
1997-01-31,Global Macro,5.73,Alto,3.525117534738645,TRUE,-2.0507999999999997,4.0728,4.0728,2.677357959479119,FALSE
1997-01-31,Long/Short Equity,2.81,Medio,1.0920166907289761,FALSE,-4.0152,4.2395999999999985,2.81,1.1871545757425164,FALSE
1997-01-31,Merger Arbitrage,1.5,Medio,1.0026337452985998,FALSE,-1.6496,2.2376,1.5,1.1050010895322835,FALSE
1997-01-31,Relative Value,1.8,Bajo,1.0630585685775713,FALSE,-1.9928,2.3367999999999984,1.8,1.2593547930967703,FALSE
1997-01-31,Short Selling,-1.66,Alto,-0.3120533313141099,FALSE,-10.563600000000001,10.994399999999992,-1.66,-0.32460389082077606,FALSE
1997-01-31,Funds Of Funds,3.17,Medio,1.7626893265140502,FALSE,-2.69,3.6363999999999965,3.17,2.0502663669166745,FALSE
1997-02-28,Convertible Arbitrage,1.23,Medio,0.4099382432683562,FALSE,-2.6832,3.3703999999999974,1.23,0.5338018211856149,FALSE
1997-02-28,CTA Global,2.98,Alto,1.102495440767071,FALSE,-4.231199999999999,5.196399999999996,2.98,1.1547835747493305,FALSE
1997-02-28,Distressed Securities,1.22,Alto,0.30830303253224545,FALSE,-3.412,3.575999999999999,1.22,0.3283237001730763,FALSE
1997-02-28,Emerging Markets,5.25,Alto,1.4213369582257167,FALSE,-5.645599999999999,6.4823999999999975,5.25,1.6586939617392713,FALSE
1997-02-28,Equity Market Neutral,1.01,Bajo,0.68901762942377,FALSE,-1.3356000000000001,1.958399999999999,1.01,0.8005379816561017,FALSE
1997-02-28,Event Driven,0.84,Medio,0.12276457343957445,FALSE,-3.0076,3.3676,0.84,0.11022421287584869,FALSE
1997-02-28,Fixed Income Arbitrage,1.22,Bajo,0.6790022794944394,FALSE,-2.6687999999999996,2.0579999999999994,1.22,0.9416179816953955,FALSE
1997-02-28,Global Macro,1.75,Alto,0.8216897652390304,FALSE,-2.0507999999999997,4.0728,1.75,0.9283918426167033,FALSE
1997-02-28,Long/Short Equity,-0.06,Medio,-0.3476722658831463,FALSE,-4.0152,4.2395999999999985,-0.06,-0.37661373208321497,FALSE
1997-02-28,Merger Arbitrage,0.34,Medio,-0.20334127053366965,FALSE,-1.6496,2.2376,0.34,-0.25470129819704973,FALSE
1997-02-28,Relative Value,1.18,Bajo,0.5231690423301524,FALSE,-1.9928,2.3367999999999984,1.18,0.607502588636315,FALSE
1997-02-28,Short Selling,4.26,Alto,0.9278460044593151,FALSE,-10.563600000000001,10.994399999999992,4.26,1.0258003627848307,FALSE
1997-02-28,Funds Of Funds,1.06,Medio,0.40715214166012376,FALSE,-2.69,3.6363999999999965,1.06,0.4684077864240206,FALSE
1997-03-31,Convertible Arbitrage,0.78,Medio,0.1383214529267934,FALSE,-2.6832,3.3703999999999974,0.78,0.1588662405851672,FALSE
1997-03-31,CTA Global,-0.21,Alto,-0.2645760932860617,FALSE,-4.231199999999999,5.196399999999996,-0.21,-0.27311692515935876,FALSE
1997-03-31,Distressed Securities,-0.12,Alto,-0.47800580177817525,FALSE,-3.412,3.575999999999999,-0.12,-0.5697780603208504,FALSE
1997-03-31,Emerging Markets,-1.2,Alto,-0.5609904053850951,FALSE,-5.645599999999999,6.4823999999999975,-1.2,-0.69168058283868,FALSE
1997-03-31,Equity Market Neutral,0.16,Bajo,-0.35645777312617766,FALSE,-1.3356000000000001,1.958399999999999,0.16,-0.46506467655263417,FALSE
1997-03-31,Event Driven,-0.23,Medio,-0.5162879350996531,FALSE,-3.0076,3.3676,-0.23,-0.6196156870157414,FALSE
1997-03-31,Fixed Income Arbitrage,1.09,Bajo,0.5663404919766539,FALSE,-2.6687999999999996,2.0579999999999994,1.09,0.7762706518187538,FALSE
1997-03-31,Global Macro,-1.19,Alto,-1.1753146675069164,FALSE,-2.0507999999999997,4.0728,-1.19,-1.2852986962051942,FALSE
1997-03-31,Long/Short Equity,-0.84,Medio,-0.738946616460657,FALSE,-4.0152,4.2395999999999985,-0.84,-0.8016099969278389,FALSE
1997-03-31,Merger Arbitrage,0.6,Medio,0.06696347439425278,FALSE,-1.6496,2.2376,0.6,0.05005958181124904,FALSE
1997-03-31,Relative Value,0.1,Bajo,-0.41728368081051265,FALSE,-1.9928,2.3367999999999984,0.1,-0.527981896552865,FALSE
1997-03-31,Short Selling,7.78,Alto,1.665083447351622,FALSE,-10.563600000000001,10.994399999999992,7.78,1.8287434324962728,FALSE
1997-03-31,Funds Of Funds,-0.77,Medio,-0.7685033314596325,FALSE,-2.69,3.6363999999999965,-0.77,-0.9035359113492291,FALSE
1997-04-30,Convertible Arbitrage,0.86,Medio,0.186608882320849,FALSE,-2.6832,3.3703999999999974,0.86,0.22552145491413567,FALSE
1997-04-30,CTA Global,-1.7,Alto,-0.9031142079378384,FALSE,-4.231199999999999,5.196399999999996,-1.7,-0.9400673153988407,FALSE
1997-04-30,Distressed Securities,0.3,Alto,-0.23155079400923742,FALSE,-3.412,3.575999999999999,0.3,-0.2882834786735003,FALSE
1997-04-30,Emerging Markets,1.19,Alto,0.17354640066604277,FALSE,-5.645599999999999,6.4823999999999975,1.19,0.17923339569485552,FALSE
1997-04-30,Equity Market Neutral,1.19,Bajo,0.9104124205519941,FALSE,-1.3356000000000001,1.958399999999999,1.19,1.0685479563355986,FALSE
1997-04-30,Event Driven,-0.05,Medio,-0.40878377478464295,FALSE,-3.0076,3.3676,-0.05,-0.496838881426502,FALSE
1997-04-30,Fixed Income Arbitrage,1.3,Bajo,0.7483326102746151,FALSE,-2.6687999999999996,2.0579999999999994,1.3,1.0433701846964059,FALSE
1997-04-30,Global Macro,1.72,Alto,0.8013121689865205,FALSE,-2.0507999999999997,4.0728,1.72,0.9058031636491328,FALSE
1997-04-30,Long/Short Equity,0.84,Medio,0.1037981386293659,FALSE,-4.0152,4.2395999999999985,0.84,0.1137665735067356,FALSE
1997-04-30,Merger Arbitrage,-0.01,Medio,-0.5672130425520269,FALSE,-1.6496,2.2376,-0.01,-0.6649563289774519,FALSE
1997-04-30,Relative Value,1.22,Bajo,0.5580006246686956,FALSE,-1.9928,2.3367999999999984,1.22,0.6495575695692477,FALSE
1997-04-30,Short Selling,-1.29,Alto,-0.2345596228282709,FALSE,-10.563600000000001,10.994399999999992,-1.29,-0.2402036249704257,FALSE
1997-04-30,Funds Of Funds,0.09,Medio,-0.2160095025618235,FALSE,-2.69,3.6363999999999965,0.09,-0.258797342996773,FALSE
1997-05-31,Convertible Arbitrage,1.56,Medio,0.6091238895188358,FALSE,-2.6832,3.3703999999999974,1.56,0.80875458029261,FALSE
1997-05-31,CTA Global,-0.15,Alto,-0.23886314907189615,FALSE,-4.231199999999999,5.196399999999996,-0.15,-0.24625986246515144,FALSE
1997-05-31,Distressed Securities,2.33,Alto,0.9596484102072954,FALSE,-3.412,3.575999999999999,2.33,1.0722736659553591,FALSE
1997-05-31,Emerging Markets,3.15,Alto,0.7759280491431266,FALSE,-5.645599999999999,6.4823999999999975,3.15,0.8934557379231942,FALSE
1997-05-31,Equity Market Neutral,1.89,Bajo,1.7713921638284216,FALSE,-1.3356000000000001,1.958399999999999,1.89,2.1108089689780867,FALSE
1997-05-31,Event Driven,3.46,Medio,1.687547351358057,FALSE,-3.0076,3.3676,3.3676,1.8342834006945243,FALSE
1997-05-31,Fixed Income Arbitrage,1.18,Bajo,0.6443371141043515,FALSE,-2.6687999999999996,2.0579999999999994,1.18,0.8907418801948902,FALSE
1997-05-31,Global Macro,1.08,Alto,0.3665901155996478,FALSE,-2.0507999999999997,4.0728,1.08,0.4239113456742981,FALSE
1997-05-31,Long/Short Equity,3.94,Medio,1.6588628652835746,FALSE,-4.0152,4.2395999999999985,3.94,1.8028542927610098,FALSE
1997-05-31,Merger Arbitrage,1.97,Medio,1.4912615534375366,FALSE,-1.6496,2.2376,1.97,1.6559149880088235,FALSE
